answer,question
"Question / Problem:
How to reopen a closed Support Case?
Answer / Solution:
Support Cases are closed sometimes automatically by the Support Portal Software. This happens if, after a certain period, no feedback is received from our customer. Closed Cases can be reopened 14 days after that they have been closed. If the Case is older then 14 days, you will have to open a new Case. You can refer to the old Case by the old Case Number.
To reopen a closed Case, you need to login to your Kofax Support Account and click on Cases and then on My Cases.
Here choose ""My Closed Cases"" from the menu on the left hand side.
Search for the closed Case in question and click on the Case Number. The closed Case will be shown. Click on ""Re-open closed Case"" to reopen the closed case.",How to reopen a closed Support Case
"Customizations, even if delivered by Tungsten Automation Professional Services, are not part of standard Tungsten Automation support. If you are looking to modify a customization, or if you encounter a problem with an existing customization, and you require Tungsten Automation assistance to address it, you would need to contact Tungsten Automation Professional Services to request an engagement.
Tungsten Automation Technical Support would be unable to comment on or assist with customization related issues.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.TungstenAutomation.com/professional-services
or via email at:
PSBusinessDevelopment@TungstenAutomation.com
Level of Complexity
Easy","Customizations: Adding, Updating, Troubleshooting and how to contact Professional Services"
"An Enhancement Request has been logged.
What is the general process for Enhancement Requests?
Is there a timeline associated with an enhancement?
Product Management periodically evaluates Enhancement Requests for
possible
inclusion in a future major release.
Their possible inclusion (or not), prioritization, and timing are determined by market needs and the functional/development level of complexity.
Enhancements that are completed will be noted in the Release Notes of major releases or service packs, which will be available in the relevant Product documentation set available
here
.
For details on how to receive notifications about releases and updates, refer to the
Release Announcements
article, which outlines how this can be achieved via the
Community
, and bookmark it as explained in the ""
Follow or bookmark a discussion
"" section.",Enhancement Requests
"You can find technical specification documentation for Tungsten Automation products centralized under the
https://docshield.tungstenautomation.com/
site.
Level of Complexity
Easy",Technical Specification Documents for Tungsten Automation products
"For details on the services and solutions that Tungsten Automation Professional Services offer, click on the following link:
Professional Services and Consulting
To contact Tungsten Automation Professional Services for inquiries, orders, or information, please email:
PSBusinessDevelopment@tungstenautomation.com
Or alternatively, you can reach out directly to your
Tungsten Automation Account Executive.
For
Tungsten Automation Partners:
Contact your Account Executive (Sales) or your Alliance Manager (
Tungsten Automation Partner organization
).
See Also:
Requesting assistance for a product upgrade, migration, or a new installation, and how to contact Professional Services
What to do when there is a problem with a customization, or I want to add or update a customization, and how to contact Professional Services",How to contact Tungsten Automation Professional Services
"New installations, system modifications, migrations and upgrades are not covered by the Tungsten Automation support maintenance contract. However, our Professional Services can be engaged to provide assistance in planning and executing such a project.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.tungstenautomation.com/professional-services
or via email at:
PSBusinessDevelopment@tungstenautomation.com
Level of Complexity
Easy","Requesting assistance for a product upgrade, migration or a new installation, and how to contact Professional Services"
"You can check the
Product Release and Sunset Schedules
for more information about release, limited and end of support for Tungsten Automation products.
Level of Complexity
Easy",Product Release and Sunset Schedules
"Please navigate to Sales Support contact page for quoting, pricing, orders, and non-technical inquiries:
Sales Support",Sales Support
"Information:
See the link below for FAQ regarding Kofax's rebranding to Tungsten Automation.
https://www.tungstenautomation.com/faq
If you still require assistance regarding billing, taxes (W9), name change, or invoicing, please send an email to
ar.ams@tungstenautomation.com",Rebranding Kofax to Tungsten Automation FAQ
"A KSeF token is a secure authorization key that defines who is allowed to access and perform actions in the Polish National e-Invoicing System (KSeF) on behalf of a company, such as submitting, viewing, or downloading invoices.
Tungsten Automation requires this token so we can legally submit invoices to KSeF on your behalf, instead of you having to do it manually. The token grants only the permissions you explicitly approve and can be revoked at any time.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
Official documentation:
The Polish Ministry of Finance has published an
extensive official guide
.
Chapter 2.4
specifically covers the KSeF Token topic:
https://ksef.podatki.gov.pl/media/jzrevse3/podrecznik-ksef-20-cz-i-rozpoczecie-korzystania-z-ksef-20260209.pdf
An official
video guide
is also available:
https://www.youtube.com/watch?v=k-ptf9f3JhM
For any issues related to KSeF tokens, the
KSeF support team
can be contacted by phone, email, or chat via:
https://ksef.podatki.gov.pl/kontakt-zadzwon-lub-napisz/
For your convenience, Tungsten Automation prepared a simplified version below.
Note
: At the time of writing, the KSeF portal is available only in Polish. The wording below may not exactly match your browsers automatic translation.
Step 1: Log in to KSeF
Go to:
https://ap.ksef.mf.gov.pl/web/login
Complete the login process using your chosen authentication method (e.g. Trusted Profile, qualified signature, etc.).
If you are unable to log in, please contact KSeF support via:
https://ksef.podatki.gov.pl/kontakt-zadzwon-lub-napisz/
Step 2: Generate the token
Once logged in, follow these steps:
From the left-hand menu, select 
Tokens
 (
Tokeny
)
Click 
Generate token
 (
Generuj Token
)
Add a
token name
(
Nazwa tokena
) in the textbox, e.g. Token for Tungsten Automation
Select the
permissions
. We recommend marking all boxes. However, if you wish, you can grant specific permissions.
If when submitting an invoice with Tungsten Automation, you receive an error Invalid Token, please ensure that you granted permissions as below image.
Select the button 
Generate token
 (
Generuj Token
).
Step 3: Wait for the token generation
Token generation is usually almost instant. However, it is possible to take a few minutes. You must keep the page open. You can press the link 
Refresh
 (
Odwie
) to regularly check the result.
Step 4: Save the token
After the refresh, if successful, you should get confirmation that the token was generated.
You must copy the token at this step. On the right of the token, select the icon 
Copy
 (
Kopiuj
).
Note: If you closed that page too past, you will need to delete the token and create a new one.",Tungsten e-Invoice Connect (TeC) - Poland - How to generate a KSeF Token?
"Tungsten Automation takes data protection seriously, ensuring that our products have robust security, are compliant and we have privacy programs in place.
Tungsten Automation has achieved the following certifications and attestations:
SOC2
SOC3
ISO/IEC 27001
PEN Test Results
These reports are available to our customers and partners once an NDA is signed.
If you require any of these reports, please fill out this
NDA (click to download)
and raise a support case attaching the signed NDA and request the reports that you would like to receive.","Requests for SOC, PEN or ISO27001 Reports"
"In this article, we will review the TeC error: ""At least 1 supported identifier(s) must be provided for Supplier."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
At least 1 supported identifier(s) must be provided for Supplier.
"".
This error means that the invoice cannot be processed because the supplier has not provided any supported identifiers accepted by the recipient. It is possible that the supplier provided an identifier, but not part of the approved ones by the recipient. The recipient would have to communicate their expectations to suppliers regarding accepted supplier IDs. Suppliers would be recommended to provide as many ID types as possible.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
There are many available identifier types. The recipient of your invoice should communicate with you about which ones are accepted. You can add them from the menu ""
Settings
"" ""
Member account
"". Then, in the part ""
Party identifiers
"", add a line by selecting a country, the needed ID type (approved by your client), and the identifier. Press the button ""
Add
"". Finally, at the bottom, press the button ""
Save
"".
If you are using integration, meaning sending a data file to generate an invoice, verify that you are providing a supplier ID in a proper mapping format, added the proper tags/segments or entered a proper schemeID.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate the identifier requirements clearly to your suppliers to ensure compliance. You should precise the exact type of supplier IDs that you are expecting from them.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: At least 1 supported identifier(s) must be provided for Supplier.
"In this article, we will review the TeC error: ""At least 1 supported means of payment must be provided.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
At least 1 supported means of payment must be provided.
"".
This error means that the invoice or transaction lacks a valid payment method. The system requires at least one supported payment method (Bank number, IBAN, etc.) to proceed.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
):
Review the invoice data and ensure a valid payment method is included. You can add one from the menu ""
Settings
"" ""
Sending
"". In the section ""
Payment method""
, add the desired payment type. If you are unsure, contact the recipient and ask for details.
Verify that you are providing the correct value and format in the intended field. For example, providing a BIC code intended for IBAN will not pass the validation. This could happen by providing local payment methods on international methods like IBAN.
If you are a customer (receiving the invoice)
: You have two options:
Contact the sender (supplier) if the invoice was received without payment details. They should correct their invoice document and resend it.
You can accept the document in its current state, without the payment method. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can press the button ""Accept"" to receive it.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: At least 1 supported means of payment must be provided.
"In this article, we will review the TeC error: "" Delivery period to cannot be before Delivery period from."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Delivery period to cannot be before Delivery period from.
"".
This error means that the invoice contains an invalid delivery period range. Specifically, the ""Delivery period to"" (end) date is earlier than the ""Delivery period from"" (start) date, which is not theoretically acceptable. The ""Delivery period from"" should always be before/earlier.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that the ""Delivery period from"" and ""Delivery period to"" fields are correctly filled, with the ""to"" date being the same or later than the ""from"" date.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate proper date formatting and logic requirements to your suppliers.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Delivery period to cannot be before Delivery period from.
