answer,question
"Issue:
What URL should be used in Transformation Converter for TotalAgility Cloud customers?
Solution:
For TotalAgility Cloud customers, please be advised that the URL for Transformation Converter uses the format: https://{TA base URL}/Services/Sdk
Below is the correct Transformation Converter URL for TotalAgility Cloud customers:
https://customerTenant.ttaeu.tungstencloud.com/Services/Sdk
In contrast, below is the correct Transformation Converter URL for TotalAgility customers:
https://customer/TotalAgility/Services/Sdk",What URL should be used in Transformation Conveter for TotalAgility Cloud customers?
"Issue:
Where and how can I install Transformation Converter?
Solution:
First download
Transformation Designer
from the
Tungsten TotalAgility On-Premise Components
Product page on the
Tungsten Fulfillment Site
.
After installing
Tungsten Transformation Designer
, you will see either
Transformation Converter
located under the
Tungsten Transformation Designer program group
as shown below:",Where and how can I install Transformation Converter?
"Question / Problem:
How to reopen a closed Support Case?
Answer / Solution:
Support Cases are closed sometimes automatically by the Support Portal Software. This happens if, after a certain period, no feedback is received from our customer. Closed Cases can be reopened 14 days after that they have been closed. If the Case is older then 14 days, you will have to open a new Case. You can refer to the old Case by the old Case Number.
To reopen a closed Case, you need to login to your Kofax Support Account and click on Cases and then on My Cases.
Here choose ""My Closed Cases"" from the menu on the left hand side.
Search for the closed Case in question and click on the Case Number. The closed Case will be shown. Click on ""Re-open closed Case"" to reopen the closed case.",How to reopen a closed Support Case
"Customizations, even if delivered by Tungsten Automation Professional Services, are not part of standard Tungsten Automation support. If you are looking to modify a customization, or if you encounter a problem with an existing customization, and you require Tungsten Automation assistance to address it, you would need to contact Tungsten Automation Professional Services to request an engagement.
Tungsten Automation Technical Support would be unable to comment on or assist with customization related issues.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.TungstenAutomation.com/professional-services
or via email at:
PSBusinessDevelopment@TungstenAutomation.com
Level of Complexity
Easy","Customizations: Adding, Updating, Troubleshooting and how to contact Professional Services"
"An Enhancement Request has been logged.
What is the general process for Enhancement Requests?
Is there a timeline associated with an enhancement?
Product Management periodically evaluates Enhancement Requests for
possible
inclusion in a future major release.
Their possible inclusion (or not), prioritization, and timing are determined by market needs and the functional/development level of complexity.
Enhancements that are completed will be noted in the Release Notes of major releases or service packs, which will be available in the relevant Product documentation set available
here
.
For details on how to receive notifications about releases and updates, refer to the
Release Announcements
article, which outlines how this can be achieved via the
Community
, and bookmark it as explained in the ""
Follow or bookmark a discussion
"" section.",Enhancement Requests
"You can find technical specification documentation for Tungsten Automation products centralized under the
https://docshield.tungstenautomation.com/
site.
Level of Complexity
Easy",Technical Specification Documents for Tungsten Automation products
"For details on the services and solutions that Tungsten Automation Professional Services offer, click on the following link:
Professional Services and Consulting
To contact Tungsten Automation Professional Services for inquiries, orders, or information, please email:
PSBusinessDevelopment@tungstenautomation.com
Or alternatively, you can reach out directly to your
Tungsten Automation Account Executive.
For
Tungsten Automation Partners:
Contact your Account Executive (Sales) or your Alliance Manager (
Tungsten Automation Partner organization
).
See Also:
Requesting assistance for a product upgrade, migration, or a new installation, and how to contact Professional Services
What to do when there is a problem with a customization, or I want to add or update a customization, and how to contact Professional Services",How to contact Tungsten Automation Professional Services
"New installations, system modifications, migrations and upgrades are not covered by the Tungsten Automation support maintenance contract. However, our Professional Services can be engaged to provide assistance in planning and executing such a project.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.tungstenautomation.com/professional-services
or via email at:
PSBusinessDevelopment@tungstenautomation.com
Level of Complexity
Easy","Requesting assistance for a product upgrade, migration or a new installation, and how to contact Professional Services"
"You can check the
Product Release and Sunset Schedules
for more information about release, limited and end of support for Tungsten Automation products.
Level of Complexity
Easy",Product Release and Sunset Schedules
"Please navigate to Sales Support contact page for quoting, pricing, orders, and non-technical inquiries:
Sales Support",Sales Support
"When there appears to be a problem with TotalAgility Reporting data processing, such as when Analytics for TotalAgility does not show new data, do the following:
Confirm whether reporting is enabled or disabled:
On new installs of 8.0 and higher, reporting is disabled by default. If reporting data is needed:
Enable TotalAgility Reporting
If reporting data is not currently being used, avoid the extra resource and storage usage:
Disable TotalAgility Reporting
Confirm the number of Reporting services:
TotalAgility 8.0+: Running multiple Reporting services is generally ok, but it can be helpful to run only one during troubleshooting
TotalAgility 7.11 and earlier: Make sure to
Only Run One TotalAgility Reporting Service Per Installation
Increase Reporting Logging Level and provide logs
Provide info from the database:
The preferred way is to run the Reporting query set from either of the following utilities:
Tech Support Queries Utility
Tech Support Queries Form
As an alternative, manually get query results of queries in the following articles:
Measure TotalAgility Reporting Staging backlog
Determine date of most recently processed reporting data
Consider proactively increasing timeouts, which are a common source of errors:
Increase TotalAgility Reporting timeout - DatabaseCmdTimeoutSec
Increase TotalAgility Reporting bulk copy timeout
Optionally, change settings to
Preserve data while troubleshooting a TotalAgility Reporting processing issue
Check for
Reporting issues resolved in TotalAgility Fix Packs
For more information, see
TotalAgility Reporting Troubleshooting In-Depth",TotalAgility Reporting Troubleshooting Guide
"Information:
See the link below for FAQ regarding Kofax's rebranding to Tungsten Automation.
https://www.tungstenautomation.com/faq
If you still require assistance regarding billing, taxes (W9), name change, or invoicing, please send an email to
ar.ams@tungstenautomation.com",Rebranding Kofax to Tungsten Automation FAQ
"8.0.1.14
2229760, 28046298:
The Mark Finished Capture activity in Reporting consistently recorded entries in the WSA_MESSAGES table, even when the reporting feature was turned off.
8.0.1.13
2216266, 28043609:
Reporting queries timed out after 30 seconds instead of using the configured timeout.
2216259, 28043609:
The Reporting system task failed with the following error: Cannot insert duplicate key in object 'dbo.@p' (OrmDoc).
8.0.1.11
2203966, 28004625
: After data retention in the Reporting system, the unique doc_key in Kofax Analytics for TotalAgility was reused. Instead of continuing from the next identity value, it was reassigned starting from the current maximum ID in the table. This resulted in mixed and inconsistent report data, as old keys overlapped with newly generated ones.
8.0.1.6
2154002, 27021824:
The DeleteBatchSessSnapshotFact1 step during Reporting retention consumed a lot of CPU affecting the user performance.
8.0.1.4
2134850, 26972343:
The Reporting process failed with the following error: ""Cannot insert duplicate key in object 'dbo.@p'"" (OrmGroupValue)
Indicated by stack trace line: Kofax.Reporting.ETLAgent.ORM.Functional.
OrmGroupValue
.Download
2134380, 26970075:
An error occurred when reporting tried to add duplicate entries to the ""doc_accum_fact"" table.
Details:
[Reporting] OrmDocAccumFact: An item with the same key has already been added
2132103, 26971920:
When an API call was used to classify documents in TotalAgility, the Category and Classification group displayed as 'Not Set' in Kofax Analytics for TotalAgility.
For details see
Documents in KAFTA show Not Set for Category and Classification Group
2134532, 26984795:
The Reporting Retention query consumed a lot of CPU.
2131059, 26973137:
The document data was not displayed in the Analytics for TotalAgility reports.
""The given key was not present in the dictionary"" at stack line: Kofax.Reporting.ETLAgent.ORM.ETLLogic.Supplement.
SupplementDocDimAggr
Triggered by document data without any associated sessions, which should generally not be possible.
8.0.1.1
2104407, 26881799
The ""DeleteMachineDim"" query, which was responsible for deleting machine dimension records as part of the reporting retention process, timed out.
8.0.1
2089368
When ""UpdateDocumentTypeWithConfidence"" was used to set a document type with the previously recorded confidence value, the confidence value was not retained.",Reporting issues resolved in TotalAgility 8.0 Fix Packs
"Document images that are very large can end up causing many different issues: memory errors, long processing times, display issues.
How does this happen?
Aside from special situations like scanning legitimately large architectural drawings, this often happens with document images that are
unintentionally
very large. A common scenario that causes this is when document images originate from a mobile device rather than a scanner. The physical paper shown in the image might be a standard letter size, but unlike a scanner, the mobile device does not know how big the object is and cannot put an accurate DPI value in the image file. Because of the incorrect DPI headers, the file has a much larger print size than the paper it is meant to represent. Incorrect DPI headers can then cause file sizes to get inflated further when converting between formats or using image processing.
It is also important to understand that this kind of problem can cause an image to be inflated to a size that the Transformation components cannot support, which can result in errors. For details on limits, see
Image files
.
How to handle images like this:
Use a Document Conversion activity with a profile that uses the Scale To setting. As an example, this setting can be set to Letter (8.5"" x 11""). After processing with this profile, the document will have the correct print size and DPI headers and thus avoid a large number of possible problems.",Avoiding errors by scaling document images
"The TotalAgility API can be accessed via WCF rather than by referencing TotalAgility.Sdk.dll. Unlike using TotalAgility.Sdk.dll, using the API via WCF works in sandboxed multi-tenant environments.
WCF clients are the classes automatically generated by Visual Studio or Svcutil.exe. They also might be referred to as Service References, Connected Services, WCF proxies, or WCF Web Services. This article assumes youve already generated WCF clients for the TotalAgility services you want to use. For more info about WCF clients, and generating them in Visual Studio, see:
Add, update, or remove WCF data service reference - Visual Studio (Windows) | Microsoft Learn
WCF Client Overview - WCF | Microsoft Learn
WCF clients need to be initialized with the url of the service and the correct bindings that match the server. Usually, WFC bindings and endpoints are defined in config files. However, custom DLLs developed for use in TotalAgility must be self-contained: they dont have their own config files and cannot modify the TotalAgility product config files. Thus, bindings and endpoints need to be initialized programmatically. Below is a sample helper method that returns WCF client classes with the correct bindings.
Other than TA-specific service names, this is mostly general WCF development knowledge, and it is the developer's responsibility to understand any code they use and to determine whether it meets their needs. Using this sample code is not a replacement for understanding WCF.
Example usage:
As can be seen in the function, the SDK URL (like
https://localhost/TotalAgility/Services/SDK/
) does need to be provided. This should not be hardcoded as that would prevent testing the code in other environments. Thus, it makes sense that it should be an input to your functions, likely stored in a global or system variable.",Initializing WCF Client API with correct bindings and endpoint
"Issue:
How can I resole an issue where following error occurs when attempting to load TotalAgility Designer/Workspace after upgrading to TotalAgiity 7.11 without encountering any errors?
An unandled win32 exception occurred in w3wp3.exe [8620].
Solution:
This error is caused by an IIS issue which causes the TotaAgility site including the TotalAgility Designer/Workspace not to be able to load so the solution needs to be resolved by the IT Team.",How can I resole an issue where following error occurs when attempting to load TotalAgility Designer/Workspace after upgrading to TotalAgiity 7.11 without encountering any errors?
"Refer to this article for the solution:
Could not load file or assembly Newtonsoft.Json after upgrade to 2026.1.1",Import / Export Packages not working after upgrading to 2026.1.x
"Configure the following:-
System System Settings User Behavior,
Check
Preserve OCR data on rotate",Rotate the page without losing OCR data
"Refer to the following table for ports and protocols used in the internal components. Also, refer to
the Logical Architecture diagram further below.
If using Filestream in TotalAgility, see the Microsoft documentation for information on adding
the default Filestream ports.
User to Web Tier
: 80 (HTTP) / 443 (HTTPS)
Web Tier to App Tier
: 80 (HTTP) / 443 (HTTPS)
Core Services in the App Tier / Core Worker Service / Transformation Server / Reporting Service / Analytics to Database
: 1433 (Named Pipes / TCP)
Core Services in the App Tier / Core Worker Service / TS / Reporting Service to License Server:
3581 (HTTP) / 3582 (HTTPS)
License Proxy to License Server: 80 (HTTP) / 443 (HTTPS)
License server:
3581 (HTTP) / 3582 (HTTPS)
Core Services in the App Tier / Core Worker Service to Transformation Server
: 9001 (TCP)
App Tier to TRIM / SP / Dynamics CRM
: 80 (HTTP) / 443 (HTTPS)
App Tier to MS Exchange
: 25 (TCP)
With the default configuration,
Message Connector
uses TCP port 25086, which is used for the web interface between TotalAgility and Message Connector.
Additional ports are used on the basis of the configured features:
Port
Used for
TCP port 25
SMTP
TCP port 1720
Fax over IP via H.323
UDP port 5060
Fax over IP via SIP
UDP port 10000-10999
Fax over IP for voice/T.38 media data
TCP ports 25087, 25088
Web services
TotalAgility Logical Architecture:",Ports and protocols used by TotalAgility internal components
"Complete the parent job so that its sub-jobs will also get archived once it is due for archival (otherwise you could also manually trigger directly from Designer to see the result).
Please could use this
package
to test it as per summarized in the screen shot below.
If you create a job based on this, it will run through and complete straight away. Then run the below SQL against your finished jobs database.
If you could not find the records then probably your system task to archive was not triggered yet then you could manually trigger directly from Designer.
SELECT JOB_ID, PROCESS_NAME, JOB_STATUS
FROM FINISHED_JOB
WHERE PROCESS_NAME IN ('Finished Parent Process', 'Finished Sub Process')
You could see the parent job has status 1 which is completed
The sub-job is having status 0 which is active.
However both have been archived successfully.
Level of Complexity
Easy",Retention for Jobs and Sub-Jobs
"Issue:
Users may need to revert Classification and Extraction groups to earlier versions in TotalAgility Designer. However, unlike Processes, there is no direct ""revert"" option available for Classification and Extraction groups in the version history list; instead, only a ""Delete"" option is visible.
Solution:
Please note that Extraction and Classification Groups in TotalAgility Designer do not support a direct ""Revert"" function to roll back to a previous version from the version history list.
The standard and supported method to restore a previous configuration is to import a Package (ZIP file) containing the specific version of the Extraction or Classification Group you wish to restore.",How to revert Classification and Extraction groups to earlier versions
"Issue:
Customers may need to know if there is a native connector, out-of-the-box integration, or recommended procedure to configure a connection from Tungsten TotalAgility to a Snowflake database.
Solution:
Currently, there is no native connector or out-of-the-box integration for Snowflake available on the Tungsten App Marketplace.
To interact with a Snowflake database, it is recommended to use a Data Access activity. You can configure this activity to connect to the external source by utilizing an ODBC database connection string.
For more information on configuring this activity, please refer to the official documentation:
https://docshield.tungstenautomation.com//TotalAgility/en_US/2026.1-sy4i5uG9Tu/help/Designer/All_Shared/Workflow/c_activitydas.html?h=Data%20Access%20activity",Snowflake connector for Tungsten TotalAgility
": Please apply the appropriate solution depending on the issue encountered:
Software names are not visible:
This happens because a serial number has not been added to the account.
To resolve this, add a serial number to your account, and the software will show up for download.
""Network Error""
during download: This issue typically indicates that a local virus scanner, corporate VPN, or Proxy is blocking the file transfer. To troubleshoot and resolve this:
1. Temporarily pause or disconnect from your corporate VPN or Proxy and try downloading the file again.
2. Try accessing the delivery site from a home network to verify if your work system's network or virus scanner is blocking the file.
3. Work with your local Windows or IT team to determine what on your machine is blocking the download.","Unable to see software or encountering ""Network Error"" when downloading from the Delivery site"
"Event Logs
With either situation, more information should be logged in the event logs, or make the web.config change below to display errors directly in the browser.
Display errors in the browser
Default settings show the generic ErrorPage out of an abundance of caution because error messages can reveal information about the system. However when troubleshooting or in dev systems, it can be helpful to allow the real errors to be displayed directly in the browser.
Open C:\Program Files\Tungsten\TotalAgility\Agility.Server.Web\web.config
Find the following line:
<customErrors defaultRedirect=""ErrorPage.aspx?error=1"" mode=""On"" />
Change On to Off
Now the real error is displayed
Common causes
Although you would need to see the real underlying error to troubleshoot, these are some common causes:
Web.config CoreServicesLocation is incorrect or not accessible for network reasons
This applies to Integration Servers connecting to Cloud/OPMT systems
Also applies to Web servers connecting to App servers
Web.config connection strings are incorrect or inaccessible",ErrorPage.aspx and ERR_TOO_MANY_REDIRECTS
"To reset all processed reporting data, the TotalAgility_Reporting database can be recreated. To instead reset a backlog of unprocessed reporting data, see
Reset Reporting Staging Database
To avoid needing to update database connection strings across the whole installation, it is ideal to create the new database with the same name as the original. One way to accomplish this is to drop or renaming the original database before creating the new one. Another way is to initially create the new database with a different name, then change the names of both when ready to switch.
Preparation: TotalAgility_Reporting Database
The TotalAgility Reporting Service writes to the TotalAgility_Reporting database, and when using Insight/KAFTA, the Insight services read from it. These all need to be stopped until the new database is available.
Creating and Initializing TotalAgility_Reporting Tables
After a DBA creates a new database, the tables can be created and initialized by running the scripts that are included in the KTA install source.
{Install Source}\TotalAgility\TotalAgilityInstall\DatabaseScripts\SQL Server\Reporting\Kofax.Reporting.Analytics.SQL_TablesCreate.sql
{Install Source}\TotalAgility\TotalAgilityInstall\DatabaseScripts\SQL Server\Reporting\Kofax Kofax.Reporting.Analytics.SQL_Initialize.sql
Version Specific Steps
If the KTA installation is on a Service Pack/Fix Pack that has made changes to these databases, then those changes need to be applied as well. In other words, run any scripts included with the fix pack install files from base version to fix pack version.
KTA 7.10
If your major version is 7.10 and you are in fix pack 5 or higher, then run this:
{Fix Pack Install Source}\TotalAgilityInstall\DatabaseScripts\SQL Server\Upgrade Database Scripts\7.10.0.0 To 7.10.0.5 Conversion Scripts\Kofax.Reporting.Analytics.SQL_Convert.sql
Additionally if you are in fix pack 8 or higher, then run this:
{Fix Pack Install Source}\TotalAgilityInstall\DatabaseScripts\SQL Server\Upgrade Database Scripts\7.10.0.5 To 7.10.0.7 Conversion Scripts\Kofax.Reporting.Analytics.SQL_Convert.sql
KTA 7.5
If your major version is 7.5 and you are in fix pack 5 or higher, then run this:
{Fix Pack Install Source}\TotalAgilityInstall\DatabaseScripts\SQL Server\Upgrade Database Scripts\7.5.0.0 To 7.5.0.5 Conversion Scripts\Kofax.Reporting.Analytics.SQL_Convert.sql
KTA 7.3
If your major version is 7.3 and you are in fix pack 2 or higher (any service pack is higher than this), then run this:
{Fix Pack Install Source}\\TotalAgilityInstall\DatabaseScripts\SQL Server\Upgrade Database Scripts\ 7.3.0.2 To 7.3.1.0 Conversion Scripts\Kofax.Reporting.Analytics.SQL_Convert.sql
7.10.0.5 and earlier: Before Restarting Services
Often if this database is being recreated, then so is the staging database (see
Reset Reporting Staging Database
). However if you are recreating only the main Reporting database, and keeping a staging database that has unprocessed reporting data, then run the following update on the TotalAgility_Reporting_Staging database,
after
the Reporting database has been recreated, but
before
the reporting service is started. This allows the data remaining in the staging database to properly process into the newly created main database.
UPDATE kc_batch_action SET etl_job_key=-1
UPDATE batch_edit SET etl_job_key=-1
Level of Complexity
Moderate",Recreate Reporting Database
"Issue:
Does Relevance apply when adding Negative Phrase?
Solution:
Relevance would not apply to Negative Phrase because documentation for Negative Phrase explains that if Not is assigned then the phrase needs to not be found on the document however the documentation for Relevance explains if an instruction consists of several phrases then all parts of the instruction need to be found on the document which is the opposite for Negative Phrase.",Does Relevance apply when adding Negative Phrase?
"Open the Web.config (
C:\Program files\Kofax\TotalAgility\Agility.Server.Web\Web.conf
and look for the following key:
<add key=""IgnoreCertificateError"" value=""False"" />
Change that to ""True"" and restart the Core worker, IIS and streaming service.",The server returned 'Connection disconnected: Could not establish a trust relationship for an SSL/TLS secure channel.' The status code is System (TrustFailure)
"When setting Require manual field confirmation in a field in the EG in the designer, the tooltip says
If set to Yes, the field must always be confirmed in Validation, no matter whether it is valid or not.
However, this causes confusion for users, as other issue factors can come into play that affect this functionality. For example, if a field validator is set with the setting ""Rule makes uncertain extraction results valid,"" then this will override the require manual field confirmation setting
Enhancement Request 2233900 has been created to improve the tooltip to include this scenario",Improvement in documentation around the Require manual field confirmation setting
"You can enable Omnipage logging by placing the attached ini file (
here
) in the OmniPage bin directory, which may change slightly based on the version. For example, it may be one of these locations:
C:\Program Files (x86)\Common Files\Kofax\OmniPage21\bin
C:\Program Files (x86)\Common Files\Kofax\OmniPage22\bin
C:\Program Files (x86)\Common Files\Tungsten\OmniPage22\bin
Then kill any existing
RecognitionProcess.exe
processes using task manager, then replicate the OCR error using Transformation Designer and attach the
recdiag_*
logs generated in
c:\temp
Note:
The folder C:\temp must already exist in order for the logs to be generated
Additional consideration for enabling OmniPage Logging in a Cloud/OMPT environment
In order to enable OmniPage logging on a Cloud/OPMT environment, please make sure that the ""TenantUsers"" group has full permissions to the log folder. If full permissions are not granted then no log will be written.
This is because the ExtractionProcess.exe will run under a dynamic user created by the Transformation Server, and this user will need full permissions to the log folder. A restart of the TS/TS Role will be required after granting the permissions.
Level of Complexity
Easy",Enable Omnipage logging
"To be in a supported configuration when sharing a License Server, the License Server version must match the highest TotalAgility version between the two environments.
- For example, if you need to share the License Server between TotalAgility 2026.1 and TotalAgility 8.1.0 environments, then you must install the TotalAgility 2026.1 License Server and use it for both environments.
In this example, the TotalAgility 8.1.0 License server will not be supported.
Once the License Server is in the supported configuration, all License file types will be available in both environments.
Level of Complexity
Easy",Can a License server be shared across two different versions of KTA
"The Mobile Capture app can connect to Front Office Server or TotalAgility:
Kofax Mobile Capture - Apps on Google Play
Kofax Mobile Capture on the App Store
Prerequisites
To use the app with TotalAgility, you will need the following:
A TotalAgility system that is accessible to the public internet, or at least accessible to the network the phone is on
If the workspace site cannot be accessed on the phone via the browser, then the app wont have access either
A TotalAgility user which:
Has a password set (which might not be true for users normally using Windows authentication)
Is a member of the default Device Users group (or has the Devices ACL directly or through other group membership)
Create Device create new job forms for any process that will be used from the mobile app
These are created from the Designer under User Interface > Forms > Generate > Device create new job form, then select the process and click Generate and release
As an example, consider using the Capture Starter Pack sample process (
Capture Starter Pack overview)
More details:
Build a Device create new job form
Make Device create new job forms available to devices
7.11 and earlier: From the Designer under System > System settings > Capture > Devices
8.0 and higher: From the Designer under System > Additional settings > Capture > Devices
From the Devices (KFS) screen > Device Profiles > Default Profile > Associated Forms tab
Move forms from Available to Associated
More details:
Introduction to Devices
Login Fields
Kofax Server: disable (enabling this uses a demo server)
Hostname: enter the host of your TotalAgility server, for example servername when the designer address is
https://servername/forms/Custom/logon.html
or
https://servername/TotalAgility/Forms/
Custom/logon.html
If you are using a separate form, please use /Forms/logon_form.form
Server Type: Select Kofax TotalAgility Azure only if using a Tungsten/Kofax hosted tenant, otherwise select Kofax TotalAgility
SSL: enabled if using HTTPS
Port: port running TotalAgility, usually 443 if using HTTPS, or 80 if not
URL: leave blank
Anonymous: disabled
Domain: leave blank
Username: name of a user in the Device Users group
Password: users password
Email: leave blank",Connecting the Mobile Capture app to TotalAgility
"Let's say you're designing a capture project in TD on an OP environment. Your Databases/Dictionaries are in the below locations:
C:\Databases
C:\Dictionaries
Whenever the Databases or Dictionaries are added to the capture project, they are added to the project's cached folder structure. This is the location the project is downloaded to when opening. When the project is released, the project will be uploaded to the KTA DB along with the custom Databases and Dictionaries. Therefore, when the project is added to a package the Databases and Dictionaries are included.
As a result, these will be included when the package is imported into their SaaS environment.
What I have said above works well given the Databases or Dictionaries are static. However, if the files will be changed dynamically then obviously we will want KTA to pick up these changes. We do this by using the ""Automatic update from import file"" option. Since we cannot use a file location, you would need to use a Web location so the updated Database/Dictionary can be accessed in Azure.
The ""Automatic update from import file"" setting is available when adding a Dictionary or Database to the capture project. See screenshots below. When using a web location a URL is used instead of a windows file path.
Additional details can be found in the KTA documentation
https://docshield.tungstenautomation.com/KTA/en_US/8.1.0-rmx0b1ux3q/help/TransformationDesigner/ProjectBuilder/100_UserInterface/ProjectSettings/r_WebResourceWindow.html
REFERENCES",How do you configure Transformation Designer Dictionaries access in an Azure evironment?
"In
TotalAgility 2025.2
, the current Gen AI (ChatGPT) integration design requires configuration of two separate endpoints (URLs):
Standard Model Used for text-based AI tasks
Vision Model Used when processing images or documents with visual content
Currently, TotalAgility only allows extending
max_completion_tokens
through the Vision Model configuration, while the Standard Model endpoint uses the servers default token limits.
How
max_completion_tokens
Works in the ChatGPT / OpenAI API
 What
max_completion_tokens
Is
When calling the Chat Completions API, you can control how long the models output can be by setting the
max_completion_tokens
parameter.
This parameter:
Limits the number of tokens the model is allowed to generate in its response
Includes any internal reasoning tokens the model may generate
Has replaced the older
max_tokens
parameter for newer models (such as GPT-5 and o-series models)",How Gen AI (ChatGPT) Integration Works in TotalAgility 2025.2
"To resolve the above error, extend the
max_completion_tokens
for the Vision Model, which is by default set to 8,192.
Related article -
How Gen AI (ChatGPT) Integration Works in TotalAgility 2025.2","Is getting ""Object reference not set to an instance of an object"" when updating the model used in their Gen AI integration to ""gpt-5-2025-08-07-eastus-dz"" against TotalAgility 2025.2 version."
"In general, it is not supported to query the TotalAgility product databases, as explained in the topic
Querying the TotalAgility Databases
. However, there is a subset of tables and columns that are documented and supported specifically for use in the context of analytics. The following product documentation links are version-specific, but documents for any other version can be found at the
full documentation list
.
TotalAgility database
Tables for Analytics
 main TotalAgility database - describes the Kofax TotalAgility tables and fields used by Kofax Analytics for TotalAgility. As the document shows in more detail, the following are the only tables that are supported.
CATEGORY
AW_RESOURCE
AW_LOGGEDON_USER
AUDIT_LOG
BUSINESS_PROCESS
LIVE_ACTIVITY
LIVE_ACTIVITY_RESOURCE
JOB
JOB_HISTORY
JOB_MILESTONES
JOB_STATE_HISTORY
FINISHED_JOB
FINISHED_JOB_HISTORY
FINISHED_JOB_MILESTONES
FINISHED_JOB_STATE_HISTORY
FINISHED_JOB_META_DATA
WORK_QUEUE_DEFINITION
WORK_QUEUE_DEFINITION_FIELD
LIVE_WORK_QUEUE_DEFINITION
TotalAgility_Reporting database
Reporting Tables
 TotalAgility_Reporting database - describes the Dimension and Fact tables of the Kofax Reporting data warehouse.
Reporting Views
 TotalAgility_Reporting database - describes the sample views provided with Kofax Reporting
Kofax Analytics for TotalAgility (KAFTA) database
If using Kofax Analytics for TotalAgility (KAFTA), there is a chapter of the features guide that gives documentation for record definitions. These can either be used as base records in Insight to use when building new records, or the underlying tables can be queried in the KAFTA_Data database.
Kofax Analytics for TotalAgility Product Features Guide
 Chapter 4 Record Definitions
Undocumented tables or columns
These documents serve as the data dictionaries for the tables and columns that are supported for queries. If a table or column is not included in these documents, that means it is not supported for use.
Performance
Be aware that it is up to the author of on any custom queries to assess their performance impact. This is especially important with queri,es the TotalAgility tables used for live jobs and activities.
Querying data not normally included in the reporting database
The TotalAgility_Reporting database is document-centric and therefore does not include data such as job variables or folder fields. In some cases it may be desirable to use this type of information in queries.
One approach to making this data available would be to write data out to a custom database during the course of a job, and then query the custom database. Another approach would be to modify the process to add the desired data into a document field, which causes it to end up in the document field data in the reporting database.
Assistance in writing queries
Technical Support can assist with specific questions about the documented tables and columns, but not with writing or reviewing custom queries.
If you need a query to accomplish a specific purpose and not able to write it yourself, we suggest engaging with
Tungsten Professional Services
.
Level of Complexity
High",Resources for Writing Custom Analytic/Reporting Queries
"Many had refer to the following KB article
https://knowledge.kofax.com/Transfor..._Using_a_Lasso
The script was for another Kofax product - Kofax Transformation Module (KTM).
Recommendation
The following Enhancement Request already exist for this functionality:
ER 1162852: Add cropping button to toolbar in the Thin Clients image viewer
and it was implemented with TA 2026.1 and is mentioned in the
release notes
.
Enable lasso option in the toolbar of the ValidationControl:
ValidationControl - Lasso drawn event:
Adding actions and referesh form afterwards:
Detect a signature on a document
Optionally browse to the KTA specific version - Scripting Documentation and then search for ""detect a signature"".
An example from TA 2026.1:
https://docshield.tungstenautomation.com/TotalAgility/en_US/2026.1-sy4i5uG9Tu/help/ScriptDocumentation/ScriptDocumentation/c_AdvancedDespeckleImageCleanup.html
And 7.7 version:
https://docshield.kofax.com/KTA/en_US/7.7.0-o3xtk9orwd/help/SD/ScriptDocumentation/c_DetectaSignatureonaDocument.html",Scripting - Save Image Snippets or Crop Images in KTA
"To workaround the issue, we have two alternatives at the moment:
Use Remote Desktop to connect to the machine where TD is installed
Try using display scaling to 125%:
3. Try to export the locator on a working system and import it afterwards on the other system like this:",Database Locator: Search Mask Tab without Add and Delete Button
"To resolve the above causes please do the following:
1) Ensure the security bindings are the same across both configs, so the Transport and authentication type is matching, e.g.
<security mode=""Transport"">
 <transport clientCredentialType=""None"" />
</security>
Default locations for each file:
web.config - C:\Program Files\Kofax\TotalAgility\Agility.Server.Web
Agility.Server.StreamingService.exe.config - C:\Program Files\Kofax\TotalAgility\CoreWorkerService
In the following example, the environment is supposed to be configured for HTTPs SSL with Windows Authentication.
web.config
- this shows that the
HTTPS SSL with Windows authentication
needs to be uncommented and the
clientCredentialType
changed to
None.
Then the
HTTP with Windows authentication
section to be commented out.
Agility.Server.StreamingService.exe.config
- this screenshot shows that the
< transport clientCredentialType>
value needs to be set to
None.
2) Make sure this account has access to the Agility.Server.Web folder (or the parent Total Agility folder)
NOTE:
By default the Anonymous user account is set to the IUSR account. If for any reason this has changed then please ensure the new account has the necessary permissions","The HTTP request is unauthorized with client authentication scheme 'Anonymous'. The authentication header received from the server was 'NTLM,Negotiate'"
"It is
not
supported to import a KTA package that was created in a higher version of the product to an environment with a lower version installed due to compatibility issues that would occur between the environments and the associated databases.
A package created in a lower version, though, can be imported into an environment with the same or higher installed version. The imported items will be converted to the higher version when imported.
NOTE
: The same principal applies to importing packages between fix pack versions. You may be permitted to import a package from a higher fix pack version into a lower fix pack version without being prompted however this is not advisable. You may encounter further issues even if it permits the package to be imported.",Is It Possible To Import A KTA Package From A Higher Version Environment To A Lower Version Environment
"Tungsten TotalAgility supports all attached scanners that support the TWAIN interfaces.
In addition, TotalAgility supports all Tungsten VRS Elite compatible scanners by scanning through Tungsten VRS Elite TWAIN-on-Top scan source
Tungsten TotalAgility also supports all ISIS scanners supported by VRS
ISIS support will be provided by installing VRS Elite on the client machine and exposing VRS as a Twain driver
Level of Complexity
Easy",Supported Scanners
